rgb_luminance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,patch_background.started,patch_background.stopped,patch_foreground.started,patch_foreground.stopped,patch_test.started,patch_test.stopped,key_response.keys,key_response.rt,key_response.started,key_response.stopped,text_task.started,text_task.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0.4,3,0,24,3,75.98819470000001,None,75.98819470000001,None,75.98819470000001,None,right,0.7235933000000045,76.0580529,None,75.98819470000001,None,76.80895579999998,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.6,3,1,25,7,77.0183649,None,77.0183649,None,77.0183649,None,right,0.6838831999999684,77.08916490000001,None,77.0183649,None,77.79798949999997,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.55,3,2,26,6,78.0030003,None,78.0030003,None,78.0030003,None,right,1.5635335000000055,78.07271839999999,None,78.0030003,None,79.66325209999997,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.45,3,3,27,4,79.87787800000001,None,79.87787800000001,None,79.87787800000001,None,left,6.3743427,79.95998359999999,None,79.87787800000001,None,86.35877579999999,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.3,3,4,28,1,86.56355049999996,None,86.56355049999996,None,86.56355049999996,None,left,1.916103000000021,86.63458700000001,None,86.56355049999996,None,88.57461289999998,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.35,3,5,29,2,88.77719300000001,None,88.77719300000001,None,88.77719300000001,None,left,0.7945324000000369,88.85504170000002,None,88.77719300000001,None,89.6733405,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.5,3,6,30,5,89.8858457,None,89.8858457,None,89.8858457,None,right,0.5433648000000062,89.95725279999999,None,89.8858457,None,90.52482520000001,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.25,3,7,31,0,90.73398659999998,None,90.73398659999998,None,90.73398659999998,None,left,1.210499900000002,90.81141179999997,None,90.73398659999998,None,92.04622610000001,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.45,4,0,32,4,92.24979359999998,None,92.24979359999998,None,92.24979359999998,None,right,0.8664540999999986,92.31861299999997,None,92.24979359999998,None,93.20815829999998,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.3,4,1,33,1,93.41185789999997,None,93.41185789999997,None,93.41185789999997,None,left,1.2882098000000042,93.48314089999997,None,93.41185789999997,None,94.79532869999997,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.25,4,2,34,0,95.00500590000001,None,95.00500590000001,None,95.00500590000001,None,left,1.1135532000000126,95.0757059,None,95.00500590000001,None,96.21349470000001,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.55,4,3,35,6,96.42321069999997,None,96.42321069999997,None,96.42321069999997,None,right,0.5568875999999818,96.49425070000001,None,96.42321069999997,None,97.0793127,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.35,4,4,36,2,97.30159090000001,None,97.30159090000001,None,97.30159090000001,None,left,1.2791096000000266,97.37229059999999,None,97.30159090000001,None,98.67492820000001,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.4,4,5,37,3,98.88553959999996,None,98.88553959999996,None,98.88553959999996,None,right,2.380197799999962,98.95871699999998,None,98.88553959999996,None,101.36318039999998,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.6,4,6,38,7,101.56880059999997,None,101.56880059999997,None,101.56880059999997,None,right,1.4450710000000413,101.64294710000001,None,101.56880059999997,None,103.11135109999998,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.5,4,7,39,5,103.31811019999998,None,103.31811019999998,None,103.31811019999998,None,right,1.5406497000000172,103.39339939999996,None,103.31811019999998,None,104.95773199999996,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.45,5,0,40,4,105.16112449999997,None,105.16112449999997,None,105.16112449999997,None,right,1.880509399999994,105.23214789999997,None,105.16112449999997,None,107.13641129999996,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.25,5,1,41,0,107.34127910000001,None,107.34127910000001,None,107.34127910000001,None,left,1.0531766000000289,107.41378099999997,None,107.34127910000001,None,108.49204399999996,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.4,5,2,42,3,108.69525770000001,None,108.69525770000001,None,108.69525770000001,None,left,1.546258899999998,108.76463459999997,None,108.69525770000001,None,110.33522269999997,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.6,5,3,43,7,110.53869909999997,None,110.53869909999997,None,110.53869909999997,None,right,0.588855199999955,110.60890619999998,None,110.53869909999997,None,111.22177929999998,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.55,5,4,44,6,111.4266657,None,111.4266657,None,111.4266657,None,right,0.9510106999999834,111.49600229999999,None,111.4266657,None,112.4703907,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.3,5,5,45,1,112.67720449999996,None,112.67720449999996,None,112.67720449999996,None,left,5.278374799999995,112.74689799999999,None,112.67720449999996,None,118.04914109999999,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.5,5,6,46,5,118.25975719999997,None,118.25975719999997,None,118.25975719999997,None,right,0.8141892000000439,118.3293658,None,118.25975719999997,None,119.16690389999997,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.35,5,7,47,2,119.38059609999999,None,119.38059609999999,None,119.38059609999999,None,right,0.8950874000000226,119.45168760000001,None,119.38059609999999,None,120.3704778,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.25,6,0,48,0,120.57866389999998,None,120.57866389999998,None,120.57866389999998,None,right,0.8334578000000192,120.6523297,None,120.57866389999998,None,121.50968189999998,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.3,6,1,49,1,121.7185303,None,121.7185303,None,121.7185303,None,right,1.381915499999991,121.79200959999997,None,121.7185303,None,123.20386339999999,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.45,6,2,50,4,123.41706519999997,None,123.41706519999997,None,123.41706519999997,None,right,0.6806920000000218,123.49252289999998,None,123.41706519999997,None,124.19656570000001,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.35,6,3,51,2,124.40167199999996,None,124.40167199999996,None,124.40167199999996,None,right,1.6965309000000275,124.47133400000001,None,124.40167199999996,None,126.1921623,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.4,6,4,52,3,126.3946431,None,126.3946431,None,126.3946431,None,right,2.7280251999999905,126.46469780000001,None,126.3946431,None,129.2200039,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.5,6,5,53,5,129.42625169999997,None,129.42625169999997,None,129.42625169999997,None,right,1.5705702999999858,129.49588189999997,None,129.42625169999997,None,131.09028669999998,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.6,6,6,54,7,131.29479269999996,None,131.29479269999996,None,131.29479269999996,None,right,0.8527268999999933,131.365499,None,131.29479269999996,None,132.2427341,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.55,6,7,55,6,132.44954159999998,None,132.44954159999998,None,132.44954159999998,None,right,1.1174368000000072,132.52012579999996,None,132.44954159999998,None,133.6627031,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.6,7,0,56,7,133.866196,None,133.866196,None,133.866196,None,right,1.5636166000000458,133.93636229999998,None,133.866196,None,135.52477219999997,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.45,7,1,57,4,135.72827989999996,None,135.72827989999996,None,135.72827989999996,None,right,2.578071799999975,135.79894859999996,None,135.72827989999996,None,138.4011466,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.25,7,2,58,0,138.6030738,None,138.6030738,None,138.6030738,None,left,0.9586514999999736,138.671262,None,138.6030738,None,139.65384339999997,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.35,7,3,59,2,139.8576547,None,139.8576547,None,139.8576547,None,right,1.243465600000036,139.9280574,None,139.8576547,None,141.1950792,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.5,7,4,60,5,141.39870709999997,None,141.39870709999997,None,141.39870709999997,None,right,0.9900188999999955,141.46970289999996,None,141.39870709999997,None,142.4846566,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.4,7,5,61,3,142.69127499999996,None,142.69127499999996,None,142.69127499999996,None,right,1.6168261999999913,142.76114079999996,None,142.69127499999996,None,144.4027951,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
0.55,7,6,62,6,144.607981,None,144.607981,None,144.607981,None,right,1.8520618000000013,144.67739869999997,None,144.607981,None,146.55345819999997,None,002,010,2021_Jan_22_1130,contrast,2020.2.10,43.80652410563646,
